State,Year,Month,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,Temp,Count,price,Megawatthours
AK,2015,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0736814217861,-4.72499146762e-07,-5.25789775606,9.01486324107e-08
AK,2016,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706299704584,-5.62943465268e-07,0.892346890998,-1.11641690168e-08
AK,2016,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007149875051900001,-4.83710473743e-07,0.404232236469,-5.5184803012199995e-08
AK,2016,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00982460855761,-3.85540703031e-07,1.38046154553,-7.0504833759100005e-09
AK,2016,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11684204550300001,-4.91341713117e-07,3.3329201636400003,-6.123919681080001e-08
AK,2016,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08522325731460001,-4.3104550078e-07,-0.0838824180589,-1.18819651847e-08
AK,2016,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0617118507129,-4.12673998583e-07,0.208986374658,-5.25669256246e-09
AK,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0292823243659,-5.21678244949e-07,0.7947239600920001,1.9323278748e-08
AK,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.020983441472099996,-4.05513823368e-07,-2.13396396708,3.36134391051e-08
AK,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08989618495960001,-4.53562367574e-07,-0.62080853804,-2.9402907904e-08
AK,2016,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.103678733657,-5.232798630899999e-07,1.8197647346,5.4412737421800006e-08
AK,2016,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.13448678368699998,-5.27048376361e-07,0.501855167375,4.3196647592900004e-08
AK,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.059088134929900005,-5.11597471949e-07,-0.8648658653039999,8.97162756545e-08
AK,2017,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015308274361399999,-4.07586505667e-07,3.47935456,2.1659964129e-08
AK,2017,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015499775668299999,-4.988787396590001e-07,0.0137405128467,-7.05271713972e-08
AK,2017,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016929750678700003,-4.2793647733099997e-07,5.33419024721,8.06521253498e-09
AK,2017,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20034807584699998,-4.9680605736e-07,-1.84109517436,-7.05621517173e-08
AK,2017,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08927694810789999,-4.0881127248e-07,1.9661991309599998,-4.1233252153400006e-08
AK,2017,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08522325731460001,-4.10507103452e-07,0.453043701922,-1.49168577544e-08
AK,2017,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0373897059526,-5.07357894519e-07,-2.6708900870599996,2.96816511287e-08
AK,2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.050170015184500004,-3.89497641966e-07,-2.6708900870599996,1.72342540331e-08
AK,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.063952563882,-5.37977064847e-07,-0.913677330757,-1.35652181867e-08
AK,2017,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.10205725734,-4.58273009163e-07,1.38046154553,3.38037320463e-08
AL,2007,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016929750678700003,-1.92121759393e-07,1.47808447643,-2.39698995345e-07
